"REPORT_DAT","num_Burglary","Crime_rate"
"2016/01",152,1043.594
"2016/02",128,878.816
"2016/03",151,1036.72825
"2016/04",196,1345.687
"2016/05",213,1462.40475
"2016/06",200,1373.15
"2016/07",185,1270.16375
"2016/08",162,1112.2515
"2016/09",234,1606.5855
"2016/10",183,1256.43225
"2016/11",166,1139.7145
"2016/12",152,1043.594
"2017/01",153,1064.40723
"2017/02",104,723.51864
"2017/03",117,813.95847
"2017/04",138,960.05358
"2017/05",141,980.92431
"2017/06",124,862.65684
"2017/07",129,897.44139
"2017/08",120,834.8292
"2017/09",130,904.3983
"2017/10",130,904.3983
"2017/11",125,869.61375
"2017/12",119,827.87229
"2018/01",141,990.46155
"2018/02",111,779.72505
"2018/03",80,561.964
"2018/04",84,590.0622
"2018/05",126,885.0933
"2018/06",121,849.97055
"2018/07",154,1081.7807
"2018/08",151,1060.70705
"2018/09",120,842.946
"2018/10",104,730.5532
"2018/11",107,751.62685
"2018/12",117,821.87235
"2019/01",124,875.13868
"2019/02",104,733.98728
"2019/03",103,726.92971
"2019/04",87,614.00859
"2019/05",126,889.25382
"2019/06",106,748.10242
"2019/07",98,691.64186
"2019/08",112,790.44784
"2019/09",107,755.15999
"2019/10",100,705.757
"2019/11",89,628.12373
"2019/12",115,811.62055
"2020/01",120,827.454
"2020/02",87,599.90415
"2020/03",92,634.3814
"2020/04",100,689.545
"2020/05",124,855.0358
"2020/06",337,2323.76665
"2020/07",93,641.27685
"2020/08",110,758.4995
"2020/09",96,661.9632
"2020/10",107,737.81315
"2020/11",97,668.85865
"2020/12",76,524.0542
"2021/01",63,422.1315
"2021/02",67,448.9335
"2021/03",84,562.842
"2021/04",71,475.7355
"2021/05",103,690.1515
"2021/06",90,603.045
"2021/07",120,804.06
"2021/08",110,737.055
"2021/09",108,723.654
"2021/10",170,1139.085
"2021/11",90,603.045
"2021/12",95,636.5475
