"REPORT_DAT","num_crime","Crime_rate"
"2016/01/01",65,446.27375
"2016/01/02",95,652.24625
"2016/01/03",100,686.575
"2016/01/04",97,665.97775
"2016/01/05",102,700.3065
"2016/01/06",90,617.9175
"2016/01/07",83,569.85725
"2016/01/08",110,755.2325
"2016/01/09",99,679.70925
"2016/01/10",79,542.39425
"2016/01/11",110,755.2325
"2016/01/12",105,720.90375
"2016/01/13",101,693.44075
"2016/01/14",95,652.24625
"2016/01/15",119,817.02425
"2016/01/16",120,823.89
"2016/01/17",82,562.9915
"2016/01/18",74,508.0655
"2016/01/19",80,549.26
"2016/01/20",91,624.78325
"2016/01/21",74,508.0655
"2016/01/22",72,494.334
"2016/01/23",30,205.9725
"2016/01/24",36,247.167
"2016/01/25",34,233.4355
"2016/01/26",52,357.019
"2016/01/27",59,405.07925
"2016/01/28",69,473.73675
"2016/01/29",92,631.649
"2016/01/30",84,576.723
"2016/01/31",90,617.9175
"2016/02/01",83,569.85725
"2016/02/02",88,604.186
"2016/02/03",112,768.964
"2016/02/04",69,473.73675
"2016/02/05",76,521.797
"2016/02/06",87,597.32025
"2016/02/07",82,562.9915
"2016/02/08",86,590.4545
"2016/02/09",95,652.24625
"2016/02/10",94,645.3805
"2016/02/11",73,501.19975
"2016/02/12",79,542.39425
"2016/02/13",57,391.34775
"2016/02/14",52,357.019
"2016/02/15",49,336.42175
"2016/02/16",75,514.93125
"2016/02/17",81,556.12575
"2016/02/18",90,617.9175
"2016/02/19",84,576.723
"2016/02/20",69,473.73675
"2016/02/21",84,576.723
"2016/02/22",96,659.112
"2016/02/23",88,604.186
"2016/02/24",99,679.70925
"2016/02/25",97,665.97775
"2016/02/26",97,665.97775
"2016/02/27",97,665.97775
"2016/02/28",76,521.797
"2016/02/29",82,562.9915
"2016/03/01",91,624.78325
"2016/03/02",115,789.56125
"2016/03/03",98,672.8435
"2016/03/04",74,508.0655
"2016/03/05",82,562.9915
"2016/03/06",70,480.6025
"2016/03/07",84,576.723
"2016/03/08",107,734.63525
"2016/03/09",88,604.186
"2016/03/10",77,528.66275
"2016/03/11",79,542.39425
"2016/03/12",80,549.26
"2016/03/13",82,562.9915
"2016/03/14",91,624.78325
"2016/03/15",85,583.58875
"2016/03/16",108,741.501
"2016/03/17",94,645.3805
"2016/03/18",109,748.36675
"2016/03/19",94,645.3805
"2016/03/20",85,583.58875
"2016/03/21",88,604.186
"2016/03/22",98,672.8435
"2016/03/23",101,693.44075
"2016/03/24",88,604.186
"2016/03/25",112,768.964
"2016/03/26",112,768.964
"2016/03/27",88,604.186
"2016/03/28",112,768.964
"2016/03/29",98,672.8435
"2016/03/30",119,817.02425
"2016/03/31",104,714.038
"2016/04/01",95,652.24625
"2016/04/02",106,727.7695
"2016/04/03",95,652.24625
"2016/04/04",97,665.97775
"2016/04/05",76,521.797
"2016/04/06",68,466.871
"2016/04/07",82,562.9915
"2016/04/08",97,665.97775
"2016/04/09",90,617.9175
"2016/04/10",101,693.44075
"2016/04/11",69,473.73675
"2016/04/12",105,720.90375
"2016/04/13",107,734.63525
"2016/04/14",93,638.51475
"2016/04/15",97,665.97775
"2016/04/16",118,810.1585
"2016/04/17",90,617.9175
"2016/04/18",99,679.70925
"2016/04/19",134,920.0105
"2016/04/20",113,775.82975
"2016/04/21",104,714.038
"2016/04/22",103,707.17225
"2016/04/23",98,672.8435
"2016/04/24",88,604.186
"2016/04/25",93,638.51475
"2016/04/26",111,762.09825
"2016/04/27",108,741.501
"2016/04/28",102,700.3065
"2016/04/29",93,638.51475
"2016/04/30",77,528.66275
"2016/05/01",89,611.05175
"2016/05/02",93,638.51475
"2016/05/03",97,665.97775
"2016/05/04",115,789.56125
"2016/05/05",97,665.97775
"2016/05/06",120,823.89
"2016/05/07",86,590.4545
"2016/05/08",89,611.05175
"2016/05/09",113,775.82975
"2016/05/10",99,679.70925
"2016/05/11",93,638.51475
"2016/05/12",105,720.90375
"2016/05/13",125,858.21875
"2016/05/14",121,830.75575
"2016/05/15",101,693.44075
"2016/05/16",125,858.21875
"2016/05/17",110,755.2325
"2016/05/18",99,679.70925
"2016/05/19",115,789.56125
"2016/05/20",112,768.964
"2016/05/21",101,693.44075
"2016/05/22",119,817.02425
"2016/05/23",119,817.02425
"2016/05/24",123,844.48725
"2016/05/25",117,803.29275
"2016/05/26",117,803.29275
"2016/05/27",111,762.09825
"2016/05/28",85,583.58875
"2016/05/29",93,638.51475
"2016/05/30",117,803.29275
"2016/05/31",131,899.41325
"2016/06/01",101,693.44075
"2016/06/02",108,741.501
"2016/06/03",101,693.44075
"2016/06/04",101,693.44075
"2016/06/05",85,583.58875
"2016/06/06",103,707.17225
"2016/06/07",112,768.964
"2016/06/08",86,590.4545
"2016/06/09",120,823.89
"2016/06/10",132,906.279
"2016/06/11",111,762.09825
"2016/06/12",113,775.82975
"2016/06/13",120,823.89
"2016/06/14",112,768.964
"2016/06/15",128,878.816
"2016/06/16",112,768.964
"2016/06/17",143,981.80225
"2016/06/18",114,782.6955
"2016/06/19",115,789.56125
"2016/06/20",86,590.4545
"2016/06/21",137,940.60775
"2016/06/22",145,995.53375
"2016/06/23",125,858.21875
"2016/06/24",130,892.5475
"2016/06/25",106,727.7695
"2016/06/26",109,748.36675
"2016/06/27",119,817.02425
"2016/06/28",126,865.0845
"2016/06/29",102,700.3065
"2016/06/30",131,899.41325
"2016/07/01",115,789.56125
"2016/07/02",118,810.1585
"2016/07/03",89,611.05175
"2016/07/04",86,590.4545
"2016/07/05",108,741.501
"2016/07/06",116,796.427
"2016/07/07",112,768.964
"2016/07/08",95,652.24625
"2016/07/09",103,707.17225
"2016/07/10",81,556.12575
"2016/07/11",140,961.205
"2016/07/12",108,741.501
"2016/07/13",119,817.02425
"2016/07/14",116,796.427
"2016/07/15",113,775.82975
"2016/07/16",116,796.427
"2016/07/17",101,693.44075
"2016/07/18",114,782.6955
"2016/07/19",124,851.353
"2016/07/20",108,741.501
"2016/07/21",141,968.07075
"2016/07/22",110,755.2325
"2016/07/23",126,865.0845
"2016/07/24",108,741.501
"2016/07/25",102,700.3065
"2016/07/26",133,913.14475
"2016/07/27",105,720.90375
"2016/07/28",90,617.9175
"2016/07/29",95,652.24625
"2016/07/30",136,933.742
"2016/07/31",115,789.56125
"2016/08/01",102,700.3065
"2016/08/02",102,700.3065
"2016/08/03",99,679.70925
"2016/08/04",94,645.3805
"2016/08/05",106,727.7695
"2016/08/06",77,528.66275
"2016/08/07",87,597.32025
"2016/08/08",117,803.29275
"2016/08/09",98,672.8435
"2016/08/10",87,597.32025
"2016/08/11",96,659.112
"2016/08/12",102,700.3065
"2016/08/13",90,617.9175
"2016/08/14",96,659.112
"2016/08/15",101,693.44075
"2016/08/16",95,652.24625
"2016/08/17",127,871.95025
"2016/08/18",107,734.63525
"2016/08/19",104,714.038
"2016/08/20",93,638.51475
"2016/08/21",105,720.90375
"2016/08/22",115,789.56125
"2016/08/23",122,837.6215
"2016/08/24",97,665.97775
"2016/08/25",113,775.82975
"2016/08/26",122,837.6215
"2016/08/27",128,878.816
"2016/08/28",105,720.90375
"2016/08/29",110,755.2325
"2016/08/30",116,796.427
"2016/08/31",106,727.7695
"2016/09/01",95,652.24625
"2016/09/02",92,631.649
"2016/09/03",91,624.78325
"2016/09/04",101,693.44075
"2016/09/05",99,679.70925
"2016/09/06",105,720.90375
"2016/09/07",115,789.56125
"2016/09/08",97,665.97775
"2016/09/09",99,679.70925
"2016/09/10",117,803.29275
"2016/09/11",107,734.63525
"2016/09/12",93,638.51475
"2016/09/13",124,851.353
"2016/09/14",73,501.19975
"2016/09/15",103,707.17225
"2016/09/16",112,768.964
"2016/09/17",136,933.742
"2016/09/18",116,796.427
"2016/09/19",99,679.70925
"2016/09/20",114,782.6955
"2016/09/21",125,858.21875
"2016/09/22",114,782.6955
"2016/09/23",133,913.14475
"2016/09/24",123,844.48725
"2016/09/25",117,803.29275
"2016/09/26",117,803.29275
"2016/09/27",111,762.09825
"2016/09/28",116,796.427
"2016/09/29",109,748.36675
"2016/09/30",101,693.44075
"2016/10/01",93,638.51475
"2016/10/02",103,707.17225
"2016/10/03",111,762.09825
"2016/10/04",96,659.112
"2016/10/05",115,789.56125
"2016/10/06",118,810.1585
"2016/10/07",99,679.70925
"2016/10/08",93,638.51475
"2016/10/09",113,775.82975
"2016/10/10",94,645.3805
"2016/10/11",109,748.36675
"2016/10/12",98,672.8435
"2016/10/13",95,652.24625
"2016/10/14",98,672.8435
"2016/10/15",119,817.02425
"2016/10/16",129,885.68175
"2016/10/17",126,865.0845
"2016/10/18",127,871.95025
"2016/10/19",108,741.501
"2016/10/20",124,851.353
"2016/10/21",128,878.816
"2016/10/22",131,899.41325
"2016/10/23",109,748.36675
"2016/10/24",124,851.353
"2016/10/25",150,1029.8625
"2016/10/26",104,714.038
"2016/10/27",105,720.90375
"2016/10/28",134,920.0105
"2016/10/29",111,762.09825
"2016/10/30",108,741.501
"2016/10/31",140,961.205
"2016/11/01",126,865.0845
"2016/11/02",110,755.2325
"2016/11/03",86,590.4545
"2016/11/04",88,604.186
"2016/11/05",97,665.97775
"2016/11/06",110,755.2325
"2016/11/07",111,762.09825
"2016/11/08",102,700.3065
"2016/11/09",114,782.6955
"2016/11/10",104,714.038
"2016/11/11",108,741.501
"2016/11/12",80,549.26
"2016/11/13",104,714.038
"2016/11/14",108,741.501
"2016/11/15",105,720.90375
"2016/11/16",93,638.51475
"2016/11/17",93,638.51475
"2016/11/18",89,611.05175
"2016/11/19",118,810.1585
"2016/11/20",104,714.038
"2016/11/21",126,865.0845
"2016/11/22",112,768.964
"2016/11/23",109,748.36675
"2016/11/24",73,501.19975
"2016/11/25",69,473.73675
"2016/11/26",121,830.75575
"2016/11/27",130,892.5475
"2016/11/28",125,858.21875
"2016/11/29",115,789.56125
"2016/11/30",103,707.17225
"2016/12/01",105,720.90375
"2016/12/02",119,817.02425
"2016/12/03",103,707.17225
"2016/12/04",100,686.575
"2016/12/05",85,583.58875
"2016/12/06",113,775.82975
"2016/12/07",98,672.8435
"2016/12/08",89,611.05175
"2016/12/09",88,604.186
"2016/12/10",104,714.038
"2016/12/11",85,583.58875
"2016/12/12",92,631.649
"2016/12/13",107,734.63525
"2016/12/14",113,775.82975
"2016/12/15",127,871.95025
"2016/12/16",102,700.3065
"2016/12/17",108,741.501
"2016/12/18",96,659.112
"2016/12/19",112,768.964
"2016/12/20",103,707.17225
"2016/12/21",108,741.501
"2016/12/22",118,810.1585
"2016/12/23",106,727.7695
"2016/12/24",111,762.09825
"2016/12/25",44,302.093
"2016/12/26",58,398.2135
"2016/12/27",89,611.05175
"2016/12/28",97,665.97775
"2016/12/29",123,844.48725
"2016/12/30",117,803.29275
"2016/12/31",90,617.9175
"2017/01/01",59,410.45769
"2017/01/02",109,758.30319
"2017/01/03",85,591.33735
"2017/01/04",104,723.51864
"2017/01/05",99,688.73409
"2017/01/06",91,633.07881
"2017/01/07",91,633.07881
"2017/01/08",59,410.45769
"2017/01/09",89,619.16499
"2017/01/10",97,674.82027
"2017/01/11",66,459.15606
"2017/01/12",110,765.2601
"2017/01/13",97,674.82027
"2017/01/14",92,640.03572
"2017/01/15",96,667.86336
"2017/01/16",77,535.68207
"2017/01/17",108,751.34628
